datetime;(('bus_dem', 'dem'), 'flow');(('connect', 'bus_dem'), 'flow');(('storage', 'bus_dem'), 'flow')
2021-12-10 19:00:00;282.909317375;282.909317375;0.0
2021-12-10 20:00:00;270.80970287499997;270.80970287499997;0.0
2021-12-10 21:00:00;252.111391;158.675391;93.436
2021-12-10 22:00:00;238.34590550000001;238.34590550000001;0.0
2021-12-10 23:00:00;228.38486900000004;228.38486900000004;0.0
2021-12-11 00:00:00;222.129553125;222.129553125;0.0
2021-12-11 01:00:00;222.36231425;128.92631425000002;93.43599999999998
2021-12-11 02:00:00;227.42124537499998;227.42124537499998;0.0
2021-12-11 03:00:00;242.03366425000002;242.03366425000002;0.0
2021-12-11 04:00:00;270.79050225;177.35450225;93.43599999999998
2021-12-11 05:00:00;296.899636;296.899636;0.0
2021-12-11 06:00:00;313.25596712500004;219.81996712500006;93.43599999999998
2021-12-11 07:00:00;320.737521625;227.30152162500002;93.43599999999998
2021-12-11 08:00:00;327.007826375;327.007826375;0.0
2021-12-11 09:00:00;332.8537353750001;332.8537353750001;0.0
2021-12-11 10:00:00;330.801869875;330.801869875;0.0
2021-12-11 11:00:00;324.18508675;324.18508675;0.0
2021-12-11 12:00:00;315.43951175;315.43951175;0.0
2021-12-11 13:00:00;309.601159125;309.601159125;0.0
2021-12-11 14:00:00;304.87941575;304.87941575;0.0
2021-12-11 15:00:00;308.481824625;308.481824625;0.0
2021-12-11 16:00:00;306.236218625;306.236218625;0.0
2021-12-11 17:00:00;297.245866625;297.245866625;0.0
2021-12-11 18:00:00;283.062179125;283.062179125;0.0
2021-12-11 19:00:00;270.378370125;227.58392999999998;42.79444012500002
2021-12-11 20:00:00;260.523122875;184.576773;75.94634987500001
2021-12-11 21:00:00;244.18078962500002;172.74678;71.43400962500002
2021-12-11 22:00:00;226.24492837500003;177.043983;49.20094537500003
2021-12-11 23:00:00;214.688134125;182.960931;31.727203125000017
2021-12-12 00:00:00;207.94982962500004;179.94982962500004;28.0
2021-12-12 01:00:00;205.84878575000002;205.84878575000002;0.0
2021-12-12 02:00:00;205.56486425;177.56486425;28.0
2021-12-12 03:00:00;206.7875105;206.7875105;0.0
2021-12-12 04:00:00;214.166620375;186.166620375;28.0
2021-12-12 05:00:00;230.00626887500002;186.68049;43.325778875000026
2021-12-12 06:00:00;249.75578400000003;186.85222199999998;62.90356200000005
2021-12-12 07:00:00;264.0811845;202.312005;61.76917950000001
2021-12-12 08:00:00;273.33650512500003;237.415587;35.92091812500004
2021-12-12 09:00:00;279.034259625;279.034259625;0.0
2021-12-12 10:00:00;275.9969685;275.9969685;0.0
2021-12-12 11:00:00;270.1688975;270.1688975;0.0
2021-12-12 12:00:00;264.135194;264.135194;0.0
2021-12-12 13:00:00;262.324265375;262.324265375;0.0
2021-12-12 14:00:00;260.59670462500003;260.59670462500003;0.0
2021-12-12 15:00:00;262.3072945;262.3072945;0.0
2021-12-12 16:00:00;263.23660474999997;263.23660474999997;0.0
2021-12-12 17:00:00;257.843706625;257.843706625;0.0
2021-12-12 18:00:00;247.904719875;247.904719875;0.0
2021-12-12 19:00:00;240.28256725;240.28256725;0.0
2021-12-12 20:00:00;234.952349875;206.952349875;28.0
2021-12-12 21:00:00;222.93412125;194.93412125;28.0
2021-12-12 22:00:00;211.34648212500002;211.34648212500002;0.0
2021-12-12 23:00:00;200.81078950000003;200.81078950000003;0.0
2021-12-13 00:00:00;195.7467795;195.7467795;0.0
2021-12-13 01:00:00;194.203916375;194.203916375;0.0
2021-12-13 02:00:00;194.20453575000002;194.20453575000002;0.0
2021-12-13 03:00:00;191.257921125;191.257921125;0.0
2021-12-13 04:00:00;192.68830575;164.68830575;28.0
2021-12-13 05:00:00;204.061145625;176.0611456242857;28.000000000714294
2021-12-13 06:00:00;221.71296150000003;174.514839;47.19812250000004
2021-12-13 07:00:00;234.766289625;200.661036;34.10525362500002
2021-12-13 08:00:00;245.79413762500002;245.79413762500002;0.0
2021-12-13 09:00:00;255.09219512500002;255.09219512500002;0.0
2021-12-13 10:00:00;253.41926325000003;253.41926325000003;0.0
2021-12-13 11:00:00;245.55121875;245.55121875;0.0
2021-12-13 12:00:00;238.70935475;238.70935475;0.0
2021-12-13 13:00:00;236.11776587500003;236.11776587500003;0.0
2021-12-13 14:00:00;237.969821;237.969821;0.0
2021-12-13 15:00:00;244.895796125;244.895796125;0.0
2021-12-13 16:00:00;247.854674375;247.854674375;0.0
2021-12-13 17:00:00;247.39410712500003;247.39410712500003;0.0
2021-12-13 18:00:00;244.8805595;244.8805595;0.0
2021-12-13 19:00:00;242.3277435;242.3277435;0.0
2021-12-13 20:00:00;241.753087375;241.753087375;0.0
2021-12-13 21:00:00;228.736550125;228.736550125;0.0
2021-12-13 22:00:00;218.533957375;190.533957375;28.0
2021-12-13 23:00:00;209.72495837500003;209.72495837500003;0.0
2021-12-14 00:00:00;206.9282325;178.9282325;28.0
2021-12-14 01:00:00;207.11738962500002;179.11738962500002;28.0
2021-12-14 02:00:00;212.462348125;212.462348125;0.0
2021-12-14 03:00:00;227.1040015;147.197742;79.9062595
2021-12-14 04:00:00;263.879144375;170.44314437500003;93.43599999999998
2021-12-14 05:00:00;291.84107650000004;198.40507650000006;93.43599999999998
2021-12-14 06:00:00;310.925135125;217.48913512500002;93.43599999999998
2021-12-14 07:00:00;319.790868875;179.15940899999998;140.63145987500002
2021-12-14 08:00:00;326.33902525;252.01280699999998;74.32621825000004
2021-12-14 09:00:00;329.3375435;329.3375435;0.0
2021-12-14 10:00:00;326.98045;326.98045;0.0
2021-12-14 11:00:00;323.197803;323.197803;0.0
2021-12-14 12:00:00;317.099808375;317.099808375;0.0
2021-12-14 13:00:00;312.251217;312.251217;0.0
2021-12-14 14:00:00;307.928846625;307.928846625;0.0
2021-12-14 15:00:00;307.0152685;307.0152685;0.0
2021-12-14 16:00:00;306.42364150000003;306.42364150000003;0.0
2021-12-14 17:00:00;300.169316625;300.169316625;0.0
2021-12-14 18:00:00;288.270008;288.270008;0.0
2021-12-14 19:00:00;278.15078312500003;278.15078312500003;0.0
2021-12-14 20:00:00;267.145728125;267.145728125;0.0
2021-12-14 21:00:00;249.97355625;249.97355625;0.0
2021-12-14 22:00:00;237.57763275000002;144.14163275000004;93.43599999999998
2021-12-14 23:00:00;228.90947962500002;135.47347962500004;93.43599999999998
2021-12-15 00:00:00;224.26416712500003;224.26416712500003;0.0
2021-12-15 01:00:00;221.27382462500003;221.27382462500003;0.0
2021-12-15 02:00:00;228.437020375;135.001020375;93.436
2021-12-15 03:00:00;242.26506275000003;148.82906275000005;93.43599999999998
2021-12-15 04:00:00;271.46933725;178.03333725000005;93.43599999999998
2021-12-15 05:00:00;298.5313175;205.09531750000002;93.43599999999998
