P_in_rel;P_in_stor;eta_in
0.3718;0.2824;0.7595
0.3721;0.2812;0.7558
0.3727;0.2828;0.7588
0.373;0.2836;0.7602
0.3732;0.2823;0.7565
0.3736;0.2823;0.7555
0.3741;0.2857;0.7637
0.3743;0.2839;0.7584
0.375;0.2846;0.7588
0.3758;0.2837;0.7548
0.3761;0.2847;0.757
0.3763;0.2844;0.7557
0.3769;0.2845;0.7548
0.3774;0.2863;0.7587
0.3781;0.285;0.7539
0.3783;0.2859;0.7558
0.3787;0.2871;0.7582
0.3792;0.2861;0.7544
0.3794;0.2867;0.7556
0.3803;0.288;0.7573
0.3805;0.2909;0.7644
0.3809;0.2918;0.766
0.3818;0.2897;0.7588
0.3825;0.2905;0.7595
0.3827;0.2913;0.7613
0.3838;0.29;0.7557
0.3841;0.2916;0.7592
0.3843;0.2908;0.7567
0.3845;0.2919;0.7592
0.3847;0.2904;0.755
0.3849;0.2927;0.7605
0.3852;0.2955;0.7671
0.3863;0.2961;0.7666
0.3865;0.2947;0.7626
0.3872;0.2964;0.7656
0.3874;0.2959;0.7637
0.3885;0.2984;0.7681
0.3887;0.2953;0.7596
0.3894;0.2989;0.7676
0.3896;0.3006;0.7716
0.3898;0.2994;0.768
0.3903;0.2959;0.7581
0.3905;0.2969;0.7603
0.3907;0.2982;0.7632
0.3909;0.2989;0.7647
0.3912;0.3005;0.7682
0.3914;0.2978;0.7608
0.3916;0.2978;0.7604
0.3918;0.2998;0.7652
0.392;0.2981;0.7605
0.3925;0.3024;0.7704
0.3927;0.2986;0.7603
0.3943;0.3024;0.767
0.3945;0.3014;0.7639
0.3952;0.3014;0.7626
0.396;0.3044;0.7687
0.3965;0.3053;0.7699
0.3974;0.3044;0.7661
0.3976;0.3066;0.7711
0.3989;0.3075;0.7709
0.3991;0.3101;0.7769
0.3996;0.3055;0.7646
0.4003;0.3053;0.7627
0.4005;0.3059;0.7639
0.4007;0.3058;0.7632
0.4014;0.3061;0.7627
0.4016;0.3067;0.7638
0.4029;0.31;0.7693
0.4034;0.3096;0.7675
0.4036;0.3104;0.7692
0.4038;0.313;0.7752
0.404;0.3104;0.7684
0.4043;0.3118;0.7711
0.4049;0.3095;0.7644
0.4056;0.3129;0.7714
0.4063;0.3145;0.774
0.4069;0.3138;0.7713
0.4071;0.3183;0.7819
0.4074;0.3126;0.7672
0.4076;0.3148;0.7724
0.4083;0.3143;0.7698
0.4087;0.3144;0.7692
0.4096;0.3146;0.7681
0.4102;0.3169;0.7725
0.4107;0.3181;0.7746
0.4109;0.3153;0.7674
0.4111;0.3182;0.7739
0.4114;0.3168;0.77
0.4118;0.319;0.7746
0.4125;0.3181;0.7711
0.4127;0.3189;0.7728
0.4131;0.3215;0.7783
0.4136;0.3173;0.7671
0.4142;0.3206;0.7741
0.4147;0.3205;0.7728
0.4149;0.319;0.7689
0.4151;0.3213;0.7741
0.4158;0.3242;0.7796
0.416;0.3232;0.777
0.4165;0.3207;0.77
0.4167;0.3217;0.7721
0.4169;0.3211;0.7703
0.4174;0.3227;0.7732
0.4187;0.3262;0.779
0.4189;0.3236;0.7724
0.4202;0.3271;0.7785
0.4218;0.3281;0.7778
0.4222;0.3261;0.7723
0.4225;0.3275;0.7751
0.4233;0.3275;0.7736
0.4242;0.3282;0.7738
0.4249;0.3297;0.776
0.4256;0.3298;0.775
0.4265;0.3325;0.7796
0.4298;0.3371;0.7844
0.43;0.3335;0.7756
0.4302;0.334;0.7763
0.4305;0.3358;0.78
0.4309;0.3354;0.7784
0.4313;0.3354;0.7776
0.4318;0.3397;0.7867
0.4324;0.3387;0.7834
0.4329;0.3381;0.7811
0.4331;0.342;0.7896
0.4344;0.3392;0.7808
0.4356;0.3378;0.7754
0.436;0.3419;0.7842
0.4371;0.3427;0.7841
0.4378;0.3411;0.7791
0.4382;0.3433;0.7835
0.4384;0.3448;0.7866
0.4393;0.3458;0.7872
0.44;0.3462;0.7868
0.4402;0.3463;0.7867
0.4404;0.3451;0.7835
0.4407;0.3472;0.7879
0.4409;0.3439;0.7801
0.442;0.3469;0.7849
0.4424;0.3469;0.7842
0.4429;0.347;0.7835
0.4435;0.3453;0.7785
0.4444;0.3496;0.7867
0.4447;0.3487;0.7842
0.4451;0.3468;0.7792
0.4453;0.352;0.7904
0.4455;0.3477;0.7805
0.4464;0.3519;0.7882
0.4467;0.3503;0.7841
0.4471;0.3521;0.7876
0.4478;0.3532;0.7887
0.4482;0.3547;0.7914
0.4484;0.3545;0.7906
0.4487;0.3541;0.7891
0.4489;0.3513;0.7825
0.4495;0.3525;0.7842
0.45;0.3557;0.7904
0.4504;0.3573;0.7932
0.4513;0.3565;0.7899
0.4515;0.3558;0.788
0.4518;0.3608;0.7986
0.4522;0.3592;0.7944
0.4524;0.3564;0.7878
0.4527;0.3551;0.7845
0.4529;0.3611;0.7973
0.4531;0.3562;0.7862
0.4535;0.3593;0.7923
0.454;0.3606;0.7942
0.4546;0.3595;0.7907
0.4551;0.3598;0.7907
0.4564;0.365;0.7998
0.4569;0.3616;0.7914
0.4571;0.3599;0.7874
0.4573;0.3636;0.7952
0.4578;0.3628;0.7924
0.458;0.3629;0.7924
0.4582;0.3619;0.7899
0.4584;0.3603;0.7861
0.4586;0.3682;0.8029
0.4591;0.3688;0.8034
0.4598;0.3644;0.7925
0.4602;0.3636;0.79
0.4604;0.3662;0.7955
0.4606;0.364;0.7902
0.4611;0.3658;0.7934
0.4613;0.3669;0.7953
0.4622;0.3659;0.7917
0.4624;0.3692;0.7984
0.4626;0.3659;0.7909
0.4629;0.3684;0.7959
0.4631;0.3677;0.7939
0.4633;0.3679;0.7941
0.4635;0.3687;0.7955
0.4638;0.3679;0.7932
0.4642;0.366;0.7885
0.4644;0.3666;0.7894
0.4649;0.3656;0.7863
0.4651;0.3684;0.7921
0.4653;0.3674;0.7896
0.4662;0.3669;0.7871
0.4673;0.3694;0.7905
0.4675;0.3704;0.7924
0.4677;0.372;0.7954
0.468;0.373;0.7971
0.4682;0.371;0.7923
0.4686;0.3713;0.7923
0.4695;0.3765;0.8019
0.4702;0.3713;0.7896
0.4717;0.3765;0.7981
0.472;0.3759;0.7963
0.4724;0.3764;0.7967
0.4726;0.378;0.7999
0.4731;0.3845;0.8128
0.4733;0.3761;0.7947
0.4735;0.3789;0.8003
0.474;0.3777;0.7968
0.4742;0.377;0.7951
0.4744;0.377;0.7946
0.4753;0.3777;0.7947
0.4755;0.3771;0.7931
0.476;0.3794;0.797
0.4762;0.3817;0.8016
0.4764;0.3806;0.7989
0.4768;0.3832;0.8037
0.4775;0.385;0.8063
0.4786;0.3795;0.7929
0.4788;0.3812;0.7962
0.4791;0.3831;0.7996
0.48;0.384;0.8
0.4802;0.3856;0.8031
0.4811;0.3871;0.8047
0.4813;0.3895;0.8093
0.4817;0.3858;0.801
0.482;0.3886;0.8062
0.4831;0.3878;0.8027
0.4837;0.3889;0.804
0.4842;0.3861;0.7973
0.4844;0.3847;0.7942
0.4846;0.3862;0.797
0.4848;0.387;0.7982
0.4853;0.3867;0.7969
0.486;0.3954;0.8135
0.4862;0.3928;0.8079
0.4864;0.3894;0.8006
0.4866;0.3899;0.8012
0.4871;0.3898;0.8002
0.4875;0.3899;0.7997
0.4882;0.3903;0.7995
0.4886;0.3985;0.8155
0.4897;0.3946;0.8058
0.4899;0.3965;0.8094
0.4906;0.3981;0.8114
0.4908;0.3939;0.8026
0.4913;0.3966;0.8073
0.4922;0.3942;0.8009
0.4924;0.3939;0.8
0.4926;0.3964;0.8047
0.4931;0.3964;0.8038
0.4933;0.3944;0.7995
0.4939;0.3964;0.8026
0.4942;0.3979;0.8051
0.4948;0.4001;0.8087
0.4951;0.3973;0.8024
0.4957;0.3987;0.8043
0.4959;0.4022;0.811
0.4962;0.4008;0.8077
0.4968;0.4028;0.8107
0.4973;0.4037;0.8118
0.4975;0.3991;0.8023
0.4979;0.3982;0.7997
0.4984;0.3991;0.8008
0.4988;0.4019;0.8058
0.499;0.4043;0.8103
0.4997;0.402;0.8045
0.5004;0.403;0.8054
0.5006;0.4037;0.8064
0.5013;0.4043;0.8065
0.5015;0.4097;0.817
0.5017;0.4062;0.8096
0.5019;0.4082;0.8134
0.5022;0.4051;0.8066
0.5024;0.4074;0.8109
0.5028;0.4065;0.8084
0.5035;0.4081;0.8105
0.5037;0.4088;0.8116
0.5044;0.4084;0.8096
0.5046;0.4062;0.8049
0.5048;0.4054;0.8031
0.505;0.4053;0.8025
0.5053;0.4099;0.8113
0.5055;0.4064;0.8039
0.5059;0.4096;0.8096
0.5066;0.4116;0.8125
0.5073;0.4089;0.806
0.5075;0.4158;0.8193
0.5084;0.411;0.8085
0.5086;0.4147;0.8154
0.5097;0.41;0.8043
0.5099;0.4112;0.8064
0.5101;0.411;0.8058
0.5104;0.4108;0.8048
0.5113;0.4185;0.8185
0.5117;0.4145;0.81
0.5124;0.4149;0.8097
0.5126;0.4173;0.8141
0.513;0.4176;0.8141
0.5133;0.4153;0.809
0.5139;0.4179;0.8131
0.5141;0.4165;0.8101
0.5144;0.4189;0.8144
0.5146;0.4212;0.8185
0.5148;0.4165;0.809
0.5153;0.4188;0.8128
0.5155;0.4198;0.8143
0.5159;0.4207;0.8155
0.5161;0.4223;0.8183
0.5164;0.4164;0.8064
0.5168;0.4195;0.8117
0.5175;0.4221;0.8156
0.5177;0.4188;0.8089
0.5179;0.422;0.8149
0.5181;0.4211;0.8128
0.5184;0.4224;0.8149
0.5188;0.4196;0.8088
0.519;0.4223;0.8137
0.5195;0.4262;0.8204
0.5197;0.4249;0.8175
0.5201;0.424;0.8152
0.5208;0.4213;0.809
0.5212;0.4272;0.8197
0.5219;0.4286;0.8213
0.5221;0.427;0.8178
0.523;0.4299;0.8219
0.5232;0.4243;0.8109
0.5239;0.429;0.8188
0.5248;0.4295;0.8184
0.525;0.4283;0.8159
0.5255;0.4335;0.8249
0.5257;0.4283;0.8147
0.5261;0.4303;0.8179
0.5264;0.4295;0.816
0.5268;0.4308;0.8177
0.527;0.4301;0.8161
0.5277;0.4314;0.8175
0.5281;0.4288;0.812
0.5286;0.431;0.8154
0.5299;0.4303;0.8121
0.5304;0.4343;0.8188
0.5306;0.4315;0.8132
0.5312;0.4364;0.8215
0.5317;0.435;0.8182
0.5321;0.4365;0.8203
0.5328;0.434;0.8146
0.533;0.4335;0.8134
0.5332;0.433;0.812
0.535;0.4397;0.8219
0.5357;0.4394;0.8203
0.5361;0.4389;0.8186
0.5363;0.4413;0.8228
0.537;0.4431;0.8252
0.5375;0.4405;0.8196
0.5379;0.4435;0.8245
0.5395;0.4397;0.815
0.5397;0.4437;0.8221
0.5401;0.4439;0.8218
0.5406;0.4472;0.8272
0.5408;0.4455;0.8237
0.541;0.4442;0.821
0.5412;0.4484;0.8285
0.5423;0.4453;0.8212
0.5426;0.447;0.8238
0.5439;0.4474;0.8225
0.5441;0.4489;0.8251
0.5443;0.4508;0.8282
0.5446;0.4461;0.8191
0.5448;0.449;0.8241
0.545;0.4497;0.8252
0.5452;0.4501;0.8255
0.5459;0.4517;0.8275
0.5461;0.4515;0.8267
0.5466;0.4503;0.8238
0.5468;0.4564;0.8346
0.5472;0.4497;0.8219
0.5477;0.4488;0.8194
0.5479;0.4529;0.8266
0.5483;0.4528;0.8258
0.5486;0.454;0.8276
0.5488;0.4522;0.824
0.5494;0.452;0.8228
0.5503;0.4506;0.8188
0.5506;0.4528;0.8224
0.5508;0.4535;0.8233
0.551;0.4534;0.8229
0.5521;0.4597;0.8326
0.5528;0.4581;0.8286
0.553;0.4545;0.8218
0.5534;0.4566;0.825
0.5539;0.4561;0.8234
0.5543;0.4584;0.8269
0.5552;0.457;0.8232
0.5559;0.4591;0.8259
0.5563;0.4601;0.8271
0.5565;0.4601;0.8267
0.5572;0.4616;0.8285
0.5579;0.4636;0.8309
0.5583;0.4609;0.8256
0.5585;0.4598;0.8232
0.5588;0.4618;0.8265
0.5592;0.4611;0.8246
0.5601;0.4662;0.8324
