datetime;(('bus_gen', 'storage'), 'flow');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'None'), 'soc_loss');(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-09 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 11:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 12:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-09 13:00:00;50.96162337499993;50.96162337499993;37.36971601354044;0.0;0.0;1.0;0.0;37.36971601354044;0.00786823105066294;0.0;0.7332913188136934;
2021-12-09 14:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;75.78418378248978;0.008182248974425092;0.0;0.7287999999999999;
2021-12-09 15:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;114.19833753351536;0.008248041012883883;0.0;0.7287999999999999;
2021-12-09 16:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;152.61242549250247;0.00831383293866045;0.0;0.7287999999999999;
2021-12-09 17:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;191.02644765956381;0.008379624751754983;0.0;0.7287999999999999;
2021-12-09 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;191.01806803481205;0.008379610399946077;0.0;;
2021-12-09 19:00:00;0.0;0.0;0.0;31.53000000000001;41.458797000000004;0.0;1.0;149.5508914244121;0.008308589439911104;31.53000000000001;;0.7605141075366949
2021-12-09 20:00:00;0.0;0.0;0.0;29.064245046282554;37.036456908994005;0.0;1.0;112.50612592597818;0.008245142756895085;29.064245046282554;;0.7847469080992069
2021-12-09 21:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;75.91362178322129;0.008182470663284291;28.812113999999998;;0.7875549426872359
2021-12-09 22:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;39.32118031255799;0.008119798677012183;28.812113999999998;;0.7875549426872359
2021-12-09 23:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;2.728801513880972;0.0005738829613468843;28.812113999999998;;0.7875549426872359
2021-12-10 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.728227630919625;0.0005737621186340674;0.0;;
2021-12-10 01:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.727653868800991;0.0005736413013671383;0.0;;
2021-12-10 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7270802274996235;0.0005735205095407377;0.0;;
2021-12-10 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7265067069900826;0.00057339974314951;0.0;;
2021-12-10 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.725933307246933;0.0005732790021880993;0.0;;
2021-12-10 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.725360028244745;0.0005731582866511489;0.0;;
2021-12-10 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.724786869958094;0.0005730375965333079;0.0;;
2021-12-10 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.724213832361561;0.0005729169318292212;0.0;;
2021-12-10 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.7236409154297316;0.0005727962925335386;0.0;;
2021-12-10 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.723068119137198;0.0005726756786409107;0.0;;
2021-12-10 10:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.722495443458557;0.000572555090145988;0.0;;
2021-12-10 11:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;41.14425888836841;0.008122921069257253;0.0;0.7287999999999999;
2021-12-10 12:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;79.55847196729916;0.008188713209327129;0.0;0.7287999999999999;
2021-12-10 13:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;117.97261925408984;0.008254505236714605;0.0;0.7287999999999999;
2021-12-10 14:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;156.38670074885312;0.008320297151419874;0.0;0.7287999999999999;
2021-12-10 15:00:00;52.72;52.72;38.422336;0.0;0.0;1.0;0.0;194.8007164517017;0.00838608895344313;0.0;0.7288;
2021-12-10 16:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;233.21466636274826;0.008451880642784567;0.0;0.7287999999999999;
2021-12-10 17:00:00;33.63536;33.63536;22.949016;0.0;0.0;1.0;0.0;256.1552304821055;0.008491171017019789;0.0;0.6822884012539185;
2021-12-10 18:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;219.56248031108845;0.008428498502035642;28.812114000000008;;0.7875549426872359
2021-12-10 19:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;182.9697928125864;0.008365826094390903;28.812113999999998;;0.7875549426872359
2021-12-10 20:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;146.377167986492;0.008303153794085387;28.812113999999998;;0.7875549426872359
2021-12-10 21:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;109.7846058326979;0.00824048160111891;28.812113999999998;;0.7875549426872359
2021-12-10 22:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;73.19210635109678;0.008177809515491291;28.812113999999998;;0.7875549426872359
2021-12-10 23:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;36.59966954158129;0.007706082126694003;28.812113999999998;;0.7875549426872359
2021-12-11 00:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;36.5919634594546;0.0077044594545951596;0.0;;
2021-12-11 01:00:00;0.0;0.0;0.0;28.812113999999998;36.584259;0.0;1.0;0.0;0.0;28.812113999999998;;0.7875549426872359
2021-12-11 02:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 03:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 04:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 05:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 06:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 07:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 08:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 09:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-11 10:00:00;33.63536;33.63536;22.949016;0.0;0.0;1.0;0.0;22.949016;0.004831659784872518;0.0;0.6822884012539185;
2021-12-11 11:00:00;52.72000000000001;52.72000000000001;38.42233600000001;0.0;0.0;1.0;0.0;61.36652034021514;0.008157555798211242;0.0;0.7288;
2021-12-11 12:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;99.78069878441694;0.008223347878962112;0.0;0.7287999999999999;
2021-12-11 13:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;138.194811436538;0.008289139847030683;0.0;0.7287999999999999;
2021-12-11 14:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;176.60885829669098;0.00835493170241715;0.0;0.7287999999999999;
2021-12-11 15:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;215.02283936498856;0.008420723445121705;0.0;0.7287999999999999;
2021-12-11 16:00:00;52.72000000000001;52.72000000000001;38.422336;0.0;0.0;1.0;0.0;253.43675464154344;0.008486515075144543;0.0;0.7287999999999999;
2021-12-11 17:00:00;52.72;52.72;38.422336;0.0;0.0;1.0;0.0;291.8506041264683;0.008552306592485853;0.0;0.7288;
2021-12-11 18:00:00;0.0;0.0;0.0;0.0;0.0;0.0;0.0;291.8420518198758;0.008552291944924231;0.0;;
