name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;objective;eta_in_mean;eta_out_mean
param_example_1;1;1;900;0.01;0.0016031946049130704;0.84;2526280.1214612257;0.7423087020037026;0.7597136059827809
param_example_2;1;1;900;0.01;0.007276720827895332;0.94;2540930.8660552665;0.7344267318632625;0.780174750404414
