datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');(('storage', '1'), 'delta');(('storage', '1'), 'delta_out');(('storage', '2'), 'delta');(('storage', '2'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-01-19 12:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;635.6979000001501;0.0;0.8282540159137288;
2021-01-19 13:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;635.6979000001501;0.0;;
2021-01-19 14:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;723.4182000001715;0.0;0.8282540159137288;
2021-01-19 15:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;723.4182000001715;0.0;;
2021-01-19 16:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;811.138500000193;0.0;0.8282540159137288;
2021-01-19 17:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;811.138500000193;0.0;;
2021-01-19 18:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;898.8588000002144;0.0;0.8282540159137288;
2021-01-19 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;898.8588000002144;0.0;;
2021-01-19 20:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;986.5791000002358;0.0;0.8282540159137288;
2021-01-19 21:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;1074.2994000002573;0.0;0.8282540159137288;
2021-01-19 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1074.2994000002573;0.0;;
2021-01-19 23:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;1162.0197000002786;0.0;0.8282540159137288;
2021-01-20 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1162.0197000002786;0.0;;
2021-01-20 01:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;1249.7400000003;0.0;0.8282540159137288;
2021-01-20 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1249.7400000003;0.0;;
2021-01-20 03:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;1337.4603000003212;0.0;0.8282540159137288;
2021-01-20 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1337.4603000003212;0.0;;
2021-01-20 05:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;1425.1806000003426;0.0;0.8282540159137288;
2021-01-20 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1425.1806000003426;0.0;;
2021-01-20 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1425.1806000003426;0.0;;
2021-01-20 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1425.1806000003426;0.0;;
2021-01-20 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1425.1806000003426;0.0;;
2021-01-20 10:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1425.1806000003426;0.0;;
2021-01-20 11:00:00;105.90990000000001;0.0;1.0;0.0;0.0;1.0;0.0;105.90990000000001;87.72030000002144;0.0;0.0;1.0;0.0;1512.900900000364;0.0;0.8282540159137288;
2021-01-20 12:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1512.900900000364;0.0;;
2021-01-20 13:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1512.900900000364;0.0;;
2021-01-20 14:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1512.900900000364;0.0;;
2021-01-20 15:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1512.900900000364;0.0;;
2021-01-20 16:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1512.900900000364;0.0;;
