datetime;(('bus_gen', 'storage'), 'flow');(('storage', '0'), 'delta');(('storage', '0'), 'delta_out');P_in;P_in_stor;P_out;P_out_stor;(('storage', 'None'), 'Y_p_in');(('storage', 'None'), 'Y_p_out');soc;(('storage', 'bus_dem'), 'flow');eta_in;eta_out
2021-12-07 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;
2021-12-07 10:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;11.384400000000065;0.0;0.716;
2021-12-07 11:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;22.768800000000063;0.0;0.716;
2021-12-07 12:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;34.153200000000126;0.0;0.716;
2021-12-07 13:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;45.537600000000126;0.0;0.716;
2021-12-07 14:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;56.92200000000019;0.0;0.716;
2021-12-07 15:00:00;15.9;1.0;1.0;15.9;11.3844;0.0;0.0;1.0;0.0;68.3064000000002;0.0;0.716;
2021-12-07 16:00:00;15.900000000000091;1.0;1.0;15.900000000000091;11.384400000000065;0.0;0.0;1.0;0.0;79.69080000000027;0.0;0.716;
2021-12-07 17:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-07 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-07 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-07 20:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-07 21:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-07 22:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-07 23:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 00:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 01:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 02:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 03:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 04:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 05:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 06:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 07:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 08:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 09:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 10:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 11:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 12:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 13:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 14:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 15:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 16:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 17:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 18:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
2021-12-08 19:00:00;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;79.69080000000027;0.0;;
