datetime;demand_[MW];ee_generation_[MW]
2021-07-16 23:00:00;43327.575;11719.25
2021-07-17 00:00:00;41967.675;11572.5
2021-07-17 01:00:00;41543.65;11872.75
2021-07-17 02:00:00;41486.35;11539.25
2021-07-17 03:00:00;41733.1;11713.5
2021-07-17 04:00:00;43222.325;11960.0
2021-07-17 05:00:00;46419.025;11957.5
2021-07-17 06:00:00;50404.8;11968.5
2021-07-17 07:00:00;53295.9;12958.75
2021-07-17 08:00:00;55163.775;15207.25
2021-07-17 09:00:00;56313.675;17637.5
2021-07-17 10:00:00;55700.7;21697.25
2021-07-17 11:00:00;54524.5;25778.5
2021-07-17 12:00:00;53306.8;29428.0
2021-07-17 13:00:00;52941.325;32701.5
2021-07-17 14:00:00;52592.675;34343.0
2021-07-17 15:00:00;52937.9;34349.0
2021-07-17 16:00:00;53125.45;33107.75
2021-07-17 17:00:00;52037.075;30226.0
2021-07-17 18:00:00;50031.225;25461.5
2021-07-17 19:00:00;48492.95;19585.75
2021-07-17 20:00:00;47417.225;14607.25
2021-07-17 21:00:00;44991.75;14052.5
2021-07-17 22:00:00;42653.174999999996;15111.25
2021-07-17 23:00:00;40526.9;16179.5
2021-07-18 00:00:00;39504.9;15866.25
2021-07-18 01:00:00;39193.525;14895.75
2021-07-18 02:00:00;39193.65;13423.0
2021-07-18 03:00:00;38598.975;12651.25
2021-07-18 04:00:00;38887.65;12078.25
2021-07-18 05:00:00;41182.875;11389.5
2021-07-18 06:00:00;44745.3;11178.25
2021-07-18 07:00:00;47379.675;12853.0
2021-07-18 08:00:00;49605.275;17519.5
2021-07-18 09:00:00;51481.775;23296.75
2021-07-18 10:00:00;51144.15;28917.25
2021-07-18 11:00:00;49556.25;34027.0
2021-07-18 12:00:00;48175.45;37661.25
2021-07-18 13:00:00;47652.425;39000.75
2021-07-18 14:00:00;48026.2;38644.0
2021-07-18 15:00:00;49423.975;37661.75
2021-07-18 16:00:00;50021.125;35506.5
2021-07-18 17:00:00;49928.175;32735.75
2021-07-18 18:00:00;49420.9;26912.25
2021-07-18 19:00:00;48905.7;20070.75
2021-07-18 20:00:00;48789.725;15281.75
2021-07-18 21:00:00;46162.775;13240.0
2021-07-18 22:00:00;44103.725;12731.25
2021-07-18 23:00:00;42325.925;12277.5
2021-07-19 00:00:00;41761.5;11785.5
2021-07-19 01:00:00;41799.675;11016.5
2021-07-19 02:00:00;42878.375;10597.25
2021-07-19 03:00:00;45833.3;9428.5
2021-07-19 04:00:00;53255.125;8369.0
2021-07-19 05:00:00;58898.3;8075.25
2021-07-19 06:00:00;62749.774999999994;8740.75
2021-07-19 07:00:00;64539.025;11475.75
2021-07-19 08:00:00;65860.55;16142.25
2021-07-19 09:00:00;66465.7;22104.25
2021-07-19 10:00:00;65990.0;26201.0
2021-07-19 11:00:00;65226.6;28359.25
2021-07-19 12:00:00;63995.925;30178.5
2021-07-19 13:00:00;63017.4;31107.0
2021-07-19 14:00:00;62145.075;30532.0
2021-07-19 15:00:00;61960.700000000004;28629.25
2021-07-19 16:00:00;61841.3;25270.25
2021-07-19 17:00:00;60579.075;20706.25
2021-07-19 18:00:00;58177.6;15582.25
2021-07-19 19:00:00;56135.375;10557.75
2021-07-19 20:00:00;53914.375;6847.5
2021-07-19 21:00:00;50448.75;5874.75
2021-07-19 22:00:00;47947.05;5747.25
2021-07-19 23:00:00;46197.675;5355.25
2021-07-20 00:00:00;45260.175;4818.25
2021-07-20 01:00:00;44656.675;4267.0
2021-07-20 02:00:00;46102.325;3568.25
2021-07-20 03:00:00;48893.05;2804.5
2021-07-20 04:00:00;54786.95;2623.5
2021-07-20 05:00:00;60248.5;2775.5
2021-07-20 06:00:00;63596.225;4154.25
2021-07-20 07:00:00;64904.775;7453.25
2021-07-20 08:00:00;66045.175;13308.75
2021-07-20 09:00:00;67032.0;20140.75
2021-07-20 10:00:00;66264.45;24921.75
2021-07-20 11:00:00;65448.924999999996;27098.5
2021-07-20 12:00:00;64500.35;28844.5
2021-07-20 13:00:00;63761.15;30671.5
2021-07-20 14:00:00;63092.325;31551.75
2021-07-20 15:00:00;62440.725;30891.0
2021-07-20 16:00:00;62120.9;27859.5
2021-07-20 17:00:00;61070.15;22640.0
2021-07-20 18:00:00;58944.45;15906.75
2021-07-20 19:00:00;56894.3;9709.75
2021-07-20 20:00:00;54262.850000000006;5844.0
2021-07-20 21:00:00;50740.975;4702.0
2021-07-20 22:00:00;47692.675;4841.25
2021-07-20 23:00:00;45826.774999999994;4991.75
2021-07-21 00:00:00;44879.125;5287.25
2021-07-21 01:00:00;44832.4;5003.5
2021-07-21 02:00:00;45659.025;4874.25
2021-07-21 03:00:00;48574.025;4552.0
2021-07-21 04:00:00;54553.4;4277.0
2021-07-21 05:00:00;59558.5;4182.5
2021-07-21 06:00:00;62791.25;5343.75
2021-07-21 07:00:00;63962.45;8447.25
2021-07-21 08:00:00;65290.325000000004;13461.75
2021-07-21 09:00:00;66420.8;19197.0
2021-07-21 10:00:00;65922.925;24075.0
2021-07-21 11:00:00;64035.5;27155.25
2021-07-21 12:00:00;63029.175;28522.5
2021-07-21 13:00:00;62298.85;28916.0
2021-07-21 14:00:00;61418.625;28540.5
2021-07-21 15:00:00;61272.75;26350.5
2021-07-21 16:00:00;60883.025;22805.0
2021-07-21 17:00:00;59855.775;17706.5
2021-07-21 18:00:00;57849.975000000006;11753.5
2021-07-21 19:00:00;55762.125;6340.75
2021-07-21 20:00:00;53424.9;3022.0
2021-07-21 21:00:00;49490.875;2079.75
2021-07-21 22:00:00;46989.45;2133.5
2021-07-21 23:00:00;44775.825;2297.5
2021-07-22 00:00:00;43663.975;2190.25
2021-07-22 01:00:00;43699.875;1837.5
2021-07-22 02:00:00;45081.15;1575.5
2021-07-22 03:00:00;47760.775;1501.25
2021-07-22 04:00:00;53944.05;1534.5
2021-07-22 05:00:00;59110.925;1796.5
2021-07-22 06:00:00;62429.0;3214.5
2021-07-22 07:00:00;63853.525;6636.25
2021-07-22 08:00:00;65123.875;11649.25
2021-07-22 09:00:00;66611.225;17659.5
2021-07-22 10:00:00;66069.525;23110.75
2021-07-22 11:00:00;65041.475000000006;27010.5
2021-07-22 12:00:00;64030.775;28759.25
2021-07-22 13:00:00;63344.825;29280.25
2021-07-22 14:00:00;62585.75;28245.0
2021-07-22 15:00:00;62459.125;26270.0
