name;active;solve_timeout;mip_gap;start_date;timeseries_length;frequency;input_data;sf_dem_[-];sf_res_[-];P_MAX_IN_[MW];P_MAX_OUT_[MW];P_MIN_IN_[-];P_MIN_OUT_[-];SOC_MIN_[MWh];SOC_MAX_[MWh];SOC_INI_[-];p_in_breakpoints_[-];p_in_stor_breakpoints_[-];p_out_stor_breakpoints_[-];p_out_breakpoints_[-]
param_example_1;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;159;280;0.1;0.1;0;2235.93;0;0.0, 0.1, 1.0;0.0, 0.0716, 0.8198;0.0, 0.1317, 1.1432;0.0, 0.1, 1.0
param_example_2;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;159;280;0.1;0.1;0;2235.93;0;0.0, 0.1, 0.8132, 1.0;0.0, 0.0743, 0.6594, 0.8327;0.0, 0.1287, 0.9121, 1.1316;0.0, 0.1, 0.7895, 1.0
