name;active;solve_timeout;mip_gap;start_date;timeseries_length;frequency;input_data;sf_dem_[-];sf_res_[-];P_MAX_IN_[MW];P_MAX_OUT_[MW];P_MIN_IN_[-];P_MIN_OUT_[-];SOC_MIN_[MWh];SOC_MAX_[MWh];SOC_INI_[-];ETA_SOC_[-];soc_breakpoints_[-];soc_loss_breakpoints_[-];p_in_breakpoints_[-];p_in_stor_breakpoints_[-];p_out_stor_breakpoints_[-];p_out_breakpoints_[-]
param_example_1;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;0.00000000, 0.00001000, 1.00000000;0.00000000, 0.00002311, 0.00002537;0.0000, 0.6380, 1.0000;0.0000, 0.4481, 0.7443;0.0000, 0.5568, 1.2547;0.0000, 0.3520, 1.0000
param_example_2;1;900;0.01;18.01.2021 00:00;336;1H;data_jan_2021.csv;0.004955;0.015612;52.72;31.53;0.638;0.352;0;342.697;0;0.999963;0.00000000, 0.00001000, 0.11251399, 1.00000000;0.00000000, 0.00000000, 0.00002369, 0.00002521;0.0000, 0.6380, 0.8066, 1.0000;0.0000, 0.4360, 0.5967, 0.7341;0.0000, 0.5720, 1.0618, 1.3061;0.0000, 0.3520, 0.8430, 1.0000
