name;active;solved;solve_timeout;mip_gap;final_mip_gap;solution_time;objective;eta_in_mean;eta_out_mean
param_example_1;1;1;900;0.01;0.000345793901862354;0.34;2523108.438211671;0.7361697212209974;0.7772481409070416
param_example_2;1;1;900;0.01;0.00033211509738090544;0.39;2523285.7576951366;0.7346444093569112;0.7781171973123707
