datetime;(('bus_dem', 'dem'), 'flow');(('connect', 'bus_dem'), 'flow');(('storage', 'bus_dem'), 'flow')
2021-01-18 00:00:00;205.76058675;205.76058675;0.0
2021-01-18 01:00:00;206.901351625;206.901351625;0.0
2021-01-18 02:00:00;213.179336625;213.179336625;0.0
2021-01-18 03:00:00;227.26417187500002;227.26417187500002;0.0
2021-01-18 04:00:00;264.340702625;264.340702625;0.0
2021-01-18 05:00:00;294.3859645;294.3859645;0.0
2021-01-18 06:00:00;312.89115525000005;312.89115525000005;0.0
2021-01-18 07:00:00;319.84252475;319.84252475;0.0
2021-01-18 08:00:00;330.098136;330.098136;0.0
2021-01-18 09:00:00;338.88198837500005;338.88198837500005;0.0
2021-01-18 10:00:00;337.34370862500003;337.34370862500003;0.0
2021-01-18 11:00:00;334.86410275000003;334.86410275000003;0.0
2021-01-18 12:00:00;330.292248125;330.292248125;0.0
2021-01-18 13:00:00;324.941839125;324.941839125;0.0
2021-01-18 14:00:00;317.974242;317.974242;0.0
2021-01-18 15:00:00;317.65538775000005;317.65538775000005;0.0
2021-01-18 16:00:00;316.21038587500004;316.21038587500004;0.0
2021-01-18 17:00:00;311.0050345;294.145692;16.859342500000025
2021-01-18 18:00:00;299.80846875000003;268.27846875;31.53
2021-01-18 19:00:00;289.11012825;257.58012825000003;31.53
2021-01-18 20:00:00;276.912280875;270.2588532194954;6.6534276555046015
2021-01-18 21:00:00;259.343832875;259.343832875;0.0
2021-01-18 22:00:00;240.6747555;240.6747555;0.0
2021-01-18 23:00:00;232.15004962500004;232.15004962500004;0.0
2021-01-19 00:00:00;227.670977375;227.670977375;0.0
2021-01-19 01:00:00;228.08831225;228.08831225;0.0
2021-01-19 02:00:00;231.61230825;231.61230825;0.0
2021-01-19 03:00:00;245.17389550000001;245.17389550000001;0.0
2021-01-19 04:00:00;279.150949875;279.150949875;0.0
2021-01-19 05:00:00;305.93706050000003;305.93706050000003;0.0
2021-01-19 06:00:00;323.748799;323.748799;0.0
2021-01-19 07:00:00;330.92017050000004;330.92017050000004;0.0
2021-01-19 08:00:00;337.849366375;337.849366375;0.0
2021-01-19 09:00:00;344.768280625;344.768280625;0.0
2021-01-19 10:00:00;343.61859675000005;343.61859675000005;0.0
2021-01-19 11:00:00;338.06602375;338.06602375;0.0
2021-01-19 12:00:00;331.530750375;331.530750375;0.0
2021-01-19 13:00:00;327.68777625;326.70546668757004;0.9823095624299526
2021-01-19 14:00:00;324.68529400000006;324.68529400000006;0.0
2021-01-19 15:00:00;319.42580925;319.42580925;0.0
2021-01-19 16:00:00;315.0473235;315.0473235;0.0
2021-01-19 17:00:00;310.277516625;310.277516625;0.0
2021-01-19 18:00:00;297.530531375;297.530531375;0.0
2021-01-19 19:00:00;286.69852975;286.69852975;0.0
2021-01-19 20:00:00;273.31656125;273.31656125;0.0
2021-01-19 21:00:00;255.21483137500002;255.21483137500002;0.0
2021-01-19 22:00:00;242.194082375;242.194082375;0.0
2021-01-19 23:00:00;233.6525295;233.6525295;0.0
2021-01-20 00:00:00;229.788125;229.788125;0.0
2021-01-20 01:00:00;229.08476275;229.08476275;0.0
2021-01-20 02:00:00;232.220410625;232.220410625;0.0
2021-01-20 03:00:00;245.7139905;245.7139905;0.0
2021-01-20 04:00:00;278.228824375;278.228824375;0.0
2021-01-20 05:00:00;303.8866815;303.8866815;0.0
2021-01-20 06:00:00;320.556911875;320.556911875;0.0
2021-01-20 07:00:00;327.75925212500005;327.75925212500005;0.0
2021-01-20 08:00:00;333.22498875;333.22498875;0.0
2021-01-20 09:00:00;340.9464891250001;340.9464891250001;0.0
2021-01-20 10:00:00;341.28826025;341.28826025;0.0
2021-01-20 11:00:00;342.686685125;342.686685125;0.0
2021-01-20 12:00:00;334.214130625;334.214130625;0.0
2021-01-20 13:00:00;327.34055462500004;327.34055462500004;0.0
2021-01-20 14:00:00;319.07499525000003;319.07499525000003;0.0
2021-01-20 15:00:00;320.30011900000005;320.30011900000005;0.0
2021-01-20 16:00:00;318.266587;318.266587;0.0
2021-01-20 17:00:00;308.98066925000006;308.98066925000006;0.0
2021-01-20 18:00:00;295.18099425;289.44648;5.734514250000018
2021-01-20 19:00:00;283.43764425;251.90764425;31.53
2021-01-20 20:00:00;269.781540375;238.25154037500002;31.53
